domain,dns_cn,dns_cn_count,dns_total,registrar_cn,registrant_cn,cn_tld,score,resolved_ips,matched_cidr,source,updated,sticky,bucket,dns_hk,dns_mo,dns_tw,dns_jp,dns_kr,dns_sg,provider,cdn_masked
aliyun-inc.com,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
aliyun.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
aliyun.com,1,6,6,0,0,0,100,106.11.172.9|106.11.248.146|106.11.249.99|106.11.253.83|140.205.135.3|140.205.60.46,106.11.0.0/16|140.205.0.0/16,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,Alibaba Cloud,0
aliyuncs.com,1,1,1,0,0,0,100,106.15.148.44,106.12.0.0/14,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
aliyundrive.com,1,1,1,0,0,0,100,123.56.218.176,123.56.0.0/15,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,Alibaba Cloud,0
amap.com,1,2,2,0,0,0,100,182.92.205.225|182.92.251.86,182.92.0.0/16,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,Alibaba Cloud,0
anhui.gov.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
anjuke.com,1,2,2,0,0,0,100,42.187.161.102|43.144.202.131,42.187.128.0/17|43.144.0.0/15,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,Tencent,0
ant.design,0,0,2,0,0,0,100,104.20.21.15|172.66.175.111,,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
anta.com,1,1,1,0,0,0,100,119.23.87.108,119.20.0.0/14,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
antgroup.com,1,2,2,0,0,0,100,110.75.130.45|110.76.8.255,110.75.0.0/16|110.76.0.0/18,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,Alibaba Cloud,0
apigwtencent.com,1,1,1,0,0,0,100,118.24.227.145,118.24.0.0/15,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,Tencent,0
appgallery.cloud,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
baidu.com,1,4,4,0,0,0,100,110.242.74.102|111.63.65.103|111.63.65.247|124.237.177.164,110.240.0.0/12|111.0.0.0/10|124.224.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
baidu.mobi,1,1,1,0,0,0,100,39.156.66.95,39.128.0.0/10,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
baidubce.com,0,1,2,0,0,0,100,10.58.144.74|14.215.189.29,14.208.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
baiducloud.com,0,0,2,0,0,0,100,5.22.145.121|5.22.145.16,,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
baidupcs.com,1,1,1,0,0,0,100,140.249.34.71,140.249.0.0/16,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
baidupcs.net,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
baidustatic.com,1,2,2,0,0,0,100,220.181.7.203|39.156.70.37,220.160.0.0/11|39.128.0.0/10,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
baihe.com,1,1,1,0,0,0,100,81.70.61.75,81.68.0.0/14,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,Tencent,0
baishancloud.com,1,1,1,0,0,0,100,203.107.60.192,203.107.0.0/17,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
bankcomm.com,1,1,1,0,0,0,100,180.169.248.77,180.160.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
bankofchina.com,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
baosteel.com,1,1,1,0,0,0,100,117.144.123.9,117.144.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
bcebos.com,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
bdimg.com,1,2,2,0,0,0,100,220.181.7.203|39.156.70.37,220.160.0.0/11|39.128.0.0/10,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
bdstatic.com,1,2,2,0,0,0,100,220.181.7.203|39.156.70.37,220.160.0.0/11|39.128.0.0/10,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
beian.gov.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
beian.miit.gov.cn,1,2,2,0,0,1,100,116.211.128.178|124.238.251.188,116.208.0.0/14|124.224.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
beijing.gov.cn,1,2,2,0,0,1,100,111.62.149.146|111.62.149.162,111.0.0.0/10,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
beike.com,1,2,2,0,0,0,100,113.11.195.42|211.100.61.67,113.11.192.0/19|211.96.0.0/13,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
bfsu.edu.cn,1,1,1,0,0,1,100,114.247.63.124,114.224.0.0/11,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
biliapi.com,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
bilibili.com,1,3,4,0,0,0,100,119.3.70.188|139.159.241.37|47.103.24.173|8.134.50.24,119.3.0.0/16|139.159.0.0/16|47.96.0.0/11,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
bilibili.net,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
bilibili.tv,0,2,4,0,0,0,100,103.151.151.133|103.151.151.134|192.254.90.178|192.254.90.179,103.151.148.0/22,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
bilicomic.com,1,2,2,0,0,0,100,140.207.188.224|180.163.29.38,140.206.0.0/15|180.160.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
bilicomics.com,1,2,2,0,0,0,100,140.207.188.224|180.163.29.38,140.206.0.0/15|180.160.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
biligame.com,1,1,1,0,0,0,100,212.64.117.140,212.64.0.0/17,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,Tencent,0
biligame.net,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
bit.edu.cn,1,1,1,0,0,1,100,183.243.192.31,183.192.0.0/10,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
bjmu.edu.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
bnu.edu.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
boc.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
bookschina.com,1,1,1,0,0,0,100,59.151.36.162,59.151.0.0/17,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
bosera.com,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
bosideng.com,1,1,1,0,0,0,100,106.15.54.75,106.12.0.0/14,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
buaa.edu.cn,1,1,1,0,0,1,100,106.39.41.16,106.32.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
bugly.qq.com,1,2,2,0,0,0,100,42.81.172.84|42.81.178.223,42.80.0.0/15,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
byd.com,1,2,2,0,0,0,100,47.106.90.124|47.107.51.11,47.96.0.0/11,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
